id,app_id,ccu,collected_at
8211,1029780,2081,2026-05-24 17:33:38.035835
8212,1030210,27,2026-05-24 17:33:39.341122
8213,1030830,574,2026-05-24 17:33:40.562164
8214,1030840,678,2026-05-24 17:33:41.804515
8215,1031140,103,2026-05-24 17:33:43.029746
8216,1032430,77,2026-05-24 17:33:44.318272
8217,1035510,31,2026-05-24 17:33:45.545398
8218,1035930,2,2026-05-24 17:33:46.764978
8219,1036240,57,2026-05-24 17:33:47.988054
8220,1036700,0,2026-05-24 17:33:49.290166
8221,1036890,9,2026-05-24 17:33:50.695512
8222,1038250,32,2026-05-24 17:33:52.009916
8223,1039880,10,2026-05-24 17:33:53.328491
8224,1040200,2125,2026-05-24 17:33:54.646399
8225,1040230,20,2026-05-24 17:33:55.999414
8226,1041320,855,2026-05-24 17:33:57.244322
8227,1041720,270,2026-05-24 17:33:58.498454
8228,1042550,492,2026-05-24 17:33:59.749516
8229,1043260,49,2026-05-24 17:34:00.986840
8230,1044720,2725,2026-05-24 17:34:02.250144
8231,1046030,37,2026-05-24 17:34:03.585439
8232,1046930,779,2026-05-24 17:34:04.838746
8233,1048540,2,2026-05-24 17:34:06.149960
8234,1049410,77,2026-05-24 17:34:07.468464
8235,1049590,2964,2026-05-24 17:34:08.694918
8236,1049800,54,2026-05-24 17:34:10.873837
8237,1051310,2,2026-05-24 17:34:12.249312
8238,1051690,18,2026-05-24 17:34:13.857846
8239,1053680,15,2026-05-24 17:34:15.418219
8240,1055430,48,2026-05-24 17:34:16.829766
8241,1055540,65,2026-05-24 17:34:19.319748
8242,1056600,0,2026-05-24 17:34:20.656154
8243,1056640,1063,2026-05-24 17:34:21.917123
8244,1056960,73,2026-05-24 17:34:23.301328
8245,1057090,393,2026-05-24 17:34:24.592786
8246,1057430,1,2026-05-24 17:34:25.919479
8247,1057700,8,2026-05-24 17:34:27.259503
8248,1057990,0,2026-05-24 17:34:28.589162
8249,1058020,70,2026-05-24 17:34:29.886018
8250,1058640,4,2026-05-24 17:34:31.150659
8251,1058650,2,2026-05-24 17:34:32.465472
8252,1058770,10,2026-05-24 17:34:33.813907
8253,1058830,18,2026-05-24 17:34:35.170441
8254,1059990,40,2026-05-24 17:34:36.471343
8255,1061090,73,2026-05-24 17:34:37.768406
8256,1061910,36,2026-05-24 17:34:39.085588
8257,1062090,5933,2026-05-24 17:34:40.720981
8258,1062160,61,2026-05-24 17:34:42.032658
8259,1062520,1141,2026-05-24 17:34:43.364582
8260,1062810,68,2026-05-24 17:34:44.608149
8261,1063420,878,2026-05-24 17:34:45.834106
8262,1063660,108,2026-05-24 17:34:47.180391
8263,1063730,707,2026-05-24 17:34:48.414912
8264,1064610,4,2026-05-24 17:34:49.724475
8265,1065310,150,2026-05-24 17:34:50.962287
8266,1066780,3040,2026-05-24 17:34:52.234494
8267,1066890,1077,2026-05-24 17:34:53.506696
8268,1067310,2,2026-05-24 17:34:54.818073
8269,1067540,12,2026-05-24 17:34:56.119377
8270,1067600,1,2026-05-24 17:34:57.451319
8271,1069160,19,2026-05-24 17:34:58.825135
8272,1069640,40,2026-05-24 17:35:00.135410
8273,1069660,940,2026-05-24 17:35:01.367660
8274,1069740,8,2026-05-24 17:35:02.690469
8275,1070330,41,2026-05-24 17:35:04.010635
8276,1071870,155,2026-05-24 17:35:05.297835
8277,1072390,3,2026-05-24 17:35:06.592519
8278,1072420,160,2026-05-24 17:35:07.924883
8279,1072710,0,2026-05-24 17:35:09.234553
8280,1072920,0,2026-05-24 17:35:10.454670
8281,1073390,2,2026-05-24 17:35:11.780450
8282,1075190,44,2026-05-24 17:35:13.019417
8283,1076200,78,2026-05-24 17:35:14.290627
8284,1078730,11,2026-05-24 17:35:15.616019
8285,1079260,72,2026-05-24 17:35:16.943764
8286,1079310,0,2026-05-24 17:35:18.284855
8287,1079800,9,2026-05-24 17:35:19.596518
8288,1080110,74,2026-05-24 17:35:20.825289
8289,1082430,21,2026-05-24 17:35:22.051530
8290,1084020,120,2026-05-24 17:35:23.372866
8291,1084160,539,2026-05-24 17:35:24.686002
8292,1084520,29,2026-05-24 17:35:26.045679
8293,1084600,1230,2026-05-24 17:35:27.282669
