id,app_id,owners_min,owners_max,average_playtime,median_playtime,peak_ccu,collected_at
1171,287290,1000000,2000000,0,0,141,2026-05-23 21:10:23.731945
1172,287340,200000,500000,0,0,0,2026-05-23 21:10:25.567484
1173,287370,500000,1000000,0,0,0,2026-05-23 21:10:27.541366
1174,287371,200000,500000,0,0,0,2026-05-23 21:10:29.418680
1175,287390,2000000,5000000,0,0,320,2026-05-23 21:10:31.261752
1176,287450,1000000,2000000,0,0,522,2026-05-23 21:10:33.299939
1177,287630,200000,500000,0,0,10,2026-05-23 21:10:35.140048
1178,287700,2000000,5000000,0,0,1333,2026-05-23 21:10:36.979760
1179,287920,500000,1000000,0,0,3,2026-05-23 21:10:38.819469
1180,287980,500000,1000000,0,0,119,2026-05-23 21:10:40.664794
1181,288060,200000,500000,0,0,0,2026-05-23 21:10:42.506460
1182,288160,500000,1000000,0,0,42,2026-05-23 21:10:44.351470
1183,288470,1000000,2000000,0,0,115,2026-05-23 21:10:46.197552
1184,289070,10000000,20000000,0,0,25420,2026-05-23 21:10:48.035709
1185,289090,200000,500000,0,0,0,2026-05-23 21:10:49.885809
1186,289130,2000000,5000000,0,0,173,2026-05-23 21:10:51.730619
1187,289520,200000,500000,0,0,107,2026-05-23 21:10:53.565435
1188,289650,2000000,5000000,0,0,373,2026-05-23 21:10:55.414770
1189,289690,500000,1000000,0,0,3,2026-05-23 21:10:57.488272
1190,289780,200000,500000,0,0,13,2026-05-23 21:10:59.334908
1191,289950,500000,1000000,0,0,20,2026-05-23 21:11:01.230781
1192,290300,500000,1000000,0,0,24,2026-05-23 21:11:03.093738
1193,290340,1000000,2000000,0,0,61,2026-05-23 21:11:04.954730
1194,290730,500000,1000000,0,0,65,2026-05-23 21:11:06.826520
1195,290770,200000,500000,0,0,1,2026-05-23 21:11:08.695170
1196,290790,200000,500000,0,0,5,2026-05-23 21:11:10.591253
1197,291010,200000,500000,0,0,0,2026-05-23 21:11:12.655743
1198,291410,500000,1000000,0,0,0,2026-05-23 21:11:14.499839
1199,291480,20000000,50000000,0,0,270,2026-05-23 21:11:16.345498
1200,291550,20000000,50000000,0,0,14169,2026-05-23 21:11:18.187902
1201,291650,1000000,2000000,0,0,204,2026-05-23 21:11:20.047218
1202,292000,200000,500000,0,0,199,2026-05-23 21:11:21.896230
1203,292030,20000000,50000000,0,0,15893,2026-05-23 21:11:23.756858
1204,292120,500000,1000000,0,0,286,2026-05-23 21:11:25.594863
1205,292140,200000,500000,0,0,54,2026-05-23 21:11:27.434713
1206,292370,200000,500000,0,0,0,2026-05-23 21:11:29.336609
1207,292410,500000,1000000,0,0,9,2026-05-23 21:11:31.174798
1208,292570,200000,500000,0,0,0,2026-05-23 21:11:33.075435
1209,292620,200000,500000,0,0,0,2026-05-23 21:11:34.919896
1210,292630,200000,500000,0,0,0,2026-05-23 21:11:37.194041
1211,292730,1000000,2000000,0,0,326,2026-05-23 21:11:39.047267
1212,292910,1000000,2000000,0,0,31,2026-05-23 21:11:40.880400
1213,292930,200000,500000,0,0,3,2026-05-23 21:11:42.717081
1214,293180,1000000,2000000,0,0,1,2026-05-23 21:11:44.559860
1215,293260,500000,1000000,0,0,30,2026-05-23 21:11:46.575553
1216,293540,500000,1000000,0,0,0,2026-05-23 21:11:48.609097
1217,293760,500000,1000000,0,0,554,2026-05-23 21:11:50.460508
1218,293780,200000,500000,0,0,8,2026-05-23 21:11:52.297193
1219,294040,200000,500000,0,0,0,2026-05-23 21:11:54.358416
1220,294100,5000000,10000000,0,0,19211,2026-05-23 21:11:56.240048
1221,294750,200000,500000,0,0,1,2026-05-23 21:11:57.971315
1222,294860,500000,1000000,0,0,37,2026-05-23 21:11:59.802288
1223,295110,1000000,2000000,0,0,1,2026-05-23 21:12:01.636205
1224,295550,500000,1000000,0,0,0,2026-05-23 21:12:03.482007
1225,295790,500000,1000000,0,0,4,2026-05-23 21:12:05.329362
1226,296050,200000,500000,0,0,0,2026-05-23 21:12:07.166485
1227,296470,500000,1000000,0,0,1,2026-05-23 21:12:09.009744
1228,296490,200000,500000,0,0,87,2026-05-23 21:12:10.842645
1229,296710,200000,500000,0,0,12,2026-05-23 21:12:12.691409
1230,296830,200000,500000,0,0,2,2026-05-23 21:12:14.568163
1231,296870,200000,500000,0,0,1,2026-05-23 21:12:16.460225
1232,296910,200000,500000,0,0,1,2026-05-23 21:12:18.364836
1233,296970,200000,500000,0,0,7,2026-05-23 21:12:20.207311
1234,297000,1000000,2000000,0,0,1213,2026-05-23 21:12:22.101167
